"city","district","statetin","pincode","created_at","updated_at"
"Krishna","Krishna",37,521228,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521457,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vuyyuru","Krishna",37,521165,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520011,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521256,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521247,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521183,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521107,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521230,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521185,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521212,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521286,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521190,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520003,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521241,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520011,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521163,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ibrahimpatnam","Krishna",37,521456,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521402,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521170,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521165,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520007,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520011,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520010,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520002,"2018-06-30 22:47:43","2018-06-30 22:47:43"
